system:index,mean,.geo
20200107T07_0,2.7216970920562744E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T08_0,2.8081238269805908E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T09_0,3.056228160858154E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T10_0,3.2961368560791016E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T11_0,3.717094659805298E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T12_0,4.1544437408447266E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T13_0,5.389004945755005E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T14_0,5.552172660827637E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T15_0,5.887448787689209E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T16_0,6.645917892456055E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T17_0,6.89476728439331E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T18_0,7.735192775726318E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T19_0,9.001791477203369E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T20_0,9.842216968536377E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T21_0,1.096576452255249E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T22_0,1.1043250560760498E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T23_0,1.1043250560760498E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T00_0,1.1043250560760498E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T03_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T04_0,2.5779008865356445E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T05_0,6.094574928283691E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T06_0,7.72625207901001E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T07_0,7.72625207901001E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T08_0,7.72625207901001E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T09_0,1.3865530490875244E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T10_0,6.213784217834473E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T11_0,1.0097771883010864E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T12_0,1.3145804405212402E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T13_0,1.6418099403381348E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T14_0,1.8668919801712036E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T15_0,2.0062178373336792E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T16_0,2.047419548034668E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T17_0,2.0723044872283936E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T18_0,2.434849739074707E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T19_0,2.541542053222656E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T20_0,2.9024481773376465E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T21_0,3.107786178588867E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T22_0,3.3551454544067383E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200108T23_0,3.4956634044647217E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T00_0,3.7345290184020996E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T01_0,1.02948397397995E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T02_0,1.5873461961746216E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T03_0,1.849234104156494E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T04_0,1.89170241355896E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T05_0,2.5019049644470215E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T06_0,7.42599368095398E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T07_0,6.759390234947205E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T08_0,9.931474924087524E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T09_0,0.0013111978769302368,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T10_0,0.0015898048877716064,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T11_0,0.0016599595546722412,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T12_0,0.0016763001680324408,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T13_0,0.0017072945833156439,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T14_0,0.001731434464449677,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T15_0,0.001757958531374726,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T16_0,0.0020125895738551947,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T17_0,0.0027796417474696966,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T18_0,0.0036120355129192205,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T19_0,0.00378952324389914,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T20_0,0.003914469480509553,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T21_0,0.004096740484232697,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T22_0,0.004175537824629316,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200109T23_0,0.0042132675647721385,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T00_0,0.0043329834938035106,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T01_0,4.063025116920471E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T02_0,6.632283329963684E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T03_0,8.646845817565918E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T04_0,0.001117214560508728,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T05_0,0.0014262795448303223,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T06_0,0.0015543550252914429,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T07_0,0.0016691535711288452,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T08_0,0.0016768425703048706,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T09_0,0.001695588231086731,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T10_0,0.0017108768224716187,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T11_0,0.00180073082447052,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T12_0,0.0018528848886489868,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T13_0,0.0019392967224121094,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T14_0,0.002025902271270752,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T15_0,0.002026766538619995,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T16_0,0.002026766538619995,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T17_0,0.002026766538619995,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T18_0,0.002026766538619995,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T19_0,0.002028524875640869,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T20_0,0.002028524875640869,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T21_0,0.0020293742418289185,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T22_0,0.0020345300436019897,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200110T23_0,0.00203724205493927,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T00_0,0.0020373016595840454,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T03_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T04_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T05_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T06_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T07_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T08_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T09_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T10_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T11_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T12_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T13_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T14_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T15_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T16_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T17_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T18_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T19_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T20_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T21_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T22_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200111T23_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T00_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T03_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T04_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T05_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T06_0,4.3213367462158203E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T07_0,1.2889504432678223E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T08_0,1.2889504432678223E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T09_0,1.2889504432678223E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T10_0,1.2889504432678223E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T11_0,1.2889504432678223E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T12_0,2.3446977138519287E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T13_0,3.498047590255737E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T14_0,3.673136234283447E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200112T15_0,3.68654727935791E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
